Name,Year,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
The Bible Game,2005,0.12,0.09,0.03,0,0
NFL Head Coach,2006,0.12,0.09,0.03,0,0
Pinball Hall of Fame: The Williams Collection,2009,0.12,0.11,0,0,0.01
Medarot 4: Kabuto / Kuwagata Version,2001,0.12,0,0,0.12,0
Backyard Sports Football: Rookie Rush,2010,0.12,0.11,0,0,0.01
Sacred 3,2014,0.12,0.03,0.05,0.02,0.02
Major League Baseball 2K6,,0.12,0.11,0,0,0.01
Vacation Isle: Beach Party,2010,0.12,0.09,0.02,0,0.01
Fit in Six,2011,0.12,0.11,0,0,0.01
Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,2010,0.12,0,0,0.12,0
"Ed, Edd n Eddy: The Mis-Edventures",2005,0.12,0.08,0.03,0,0
Onimusha: Blade Warriors,2003,0.12,0.06,0.05,0,0.02
Tecmo Bowl: Kickoff,2008,0.12,0.11,0,0,0.01
Disney's Extreme Skate Adventure,2003,0.12,0.09,0.02,0,0
Akuji the Heartless,1998,0.12,0.07,0.04,0,0.01
NBA 2K2,2002,0.12,0.09,0.02,0,0
7 Days to Die,2016,0.12,0.03,0.07,0,0.02
Monster Jam: Path of Destruction,2010,0.12,0.11,0,0,0.01
Everybody Dance,2011,0.12,0.11,0,0,0.01
Psychonauts,2005,0.12,0.09,0.03,0,0
Power Gig: Rise of the SixString,2010,0.12,0.11,0,0,0.01
Deus Ex: Human Revolution,2013,0.12,0.06,0.05,0,0.01
Jeremy McGrath Supercross World,2002,0.12,0.09,0.02,0,0
Uta no * Prince-Sama: All Star,2013,0.12,0,0,0.12,0
HardBall 5,1996,0.12,0.07,0.04,0,0.01
Airborne Troops: Countdown to D-Day,2005,0.12,0.06,0.05,0,0.02
MLB Inside Pitch 2003,2003,0.12,0.09,0.03,0,0
ArmA III,2013,0.12,0,0.1,0,0.02
The Walking Dead: Season Two,2014,0.12,0.04,0.07,0,0.01
Marvel Trading Card Game,2007,0.12,0.11,0,0,0.01
One Piece: Super Grand Battle! X,2014,0.12,0,0,0.12,0
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,2011,0.12,0.07,0.03,0,0.01
Self-Defense Training Camp,2011,0.12,0.08,0.03,0,0.01
Battles of Prince of Persia,2005,0.12,0.1,0.01,0,0.01
Deca Sports Extreme,2011,0.12,0.08,0,0.03,0.01
Cruis'n,2007,0.12,0.1,0.01,0,0.01
Hatsune Miku: Project Diva X,2016,0.12,0.01,0,0.1,0
Battle Arena Toshinden Remix,1994,0.12,0,0,0.12,0
Assassin's Creed Chronicles,2016,0.12,0.02,0.06,0.01,0.02
Legends of Wrestling II,2002,0.12,0.09,0.02,0,0
Tropico 5,2014,0.12,0.02,0.08,0,0.01
A.C.E.: Another Century's Episode Portable,2011,0.12,0,0,0.12,0
Dragon Quest Builders: Revive Alefgard,2016,0.12,0,0,0.12,0
Rodea the Sky Soldier,2015,0.12,0.08,0.02,0.01,0.01
Peggle: Dual Shot,2009,0.12,0.11,0,0,0.01
Jikkyou Powerful Pro Yakyuu 9,2002,0.12,0,0,0.11,0
Sniper Elite,2010,0.12,0.08,0.03,0,0.01
Etrian Odyssey V,2016,0.12,0,0,0.12,0
Jikkyou Powerful Pro Yakyuu 2014,2014,0.12,0,0,0.12,0
Barbie as The Island Princess,2007,0.12,0.06,0.04,0,0.02
Crime Killer,1998,0.12,0.07,0.04,0,0.01
NPPL: Championship Paintball 2009,2008,0.12,0.11,0,0,0.01
Backyard Wrestling 2: There Goes the Neighborhood,2004,0.12,0.09,0.03,0,0
Dementium II,2010,0.12,0.09,0.02,0,0.01
Don Bradman Cricket 14,2015,0.12,0.01,0.09,0,0.02
USA Today Crossword Challenge,2008,0.12,0.11,0,0,0.01
MegaTagmension Blanc + Neptune VS Zombies,2015,0.12,0.02,0.03,0.05,0.01
Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,1994,0.12,0,0,0.12,0
SD Gundam G Generation-F.I.F,2001,0.12,0,0,0.11,0.01
Jaws: Ultimate Predator,2011,0.12,0.11,0,0,0.01
Yakuza Kiwami,2016,0.12,0,0,0.12,0
Raiden IV,2008,0.12,0.1,0,0.01,0.01
Deception IV: Blood Ties,2014,0.12,0.02,0.02,0.06,0.01
The Walking Dead: Survival Instinct,2013,0.12,0.08,0.03,0,0.01
Rock Band: Metal Track Pack,2009,0.12,0.11,0,0,0.01
Charm Girls Club: My Perfect Prom,2009,0.12,0.11,0,0,0.01
DreamWorks Super Star Kartz,2011,0.12,0.06,0.03,0,0.02
Harukanaru Augusta 2: Masters,1993,0.12,0,0,0.12,0
Castlevania: Curse of Darkness,2005,0.12,0.09,0.03,0,0
Spider-Man: Edge of Time,2011,0.12,0.08,0.03,0,0.01
Mobil 1 Rally Championship,2000,0.12,0.07,0.04,0,0.01
King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc,2002,0.12,0,0,0.12,0
Turok: Evolution,2002,0.12,0.08,0.03,0,0
The Clique: Diss and Make Up,2009,0.12,0.11,0,0,0.01
Love Live! School Idol Paradise,2014,0.12,0,0,0.12,0
Rugrats: Totally Angelica,2001,0.12,0.06,0.04,0,0.01
Nightshade,2003,0.12,0.06,0.04,0,0.01
NFL Tour,2008,0.12,0.1,0.01,0,0.01
Ridge Racer Unbounded,2012,0.12,0.05,0.05,0,0.01
CSI: Crime Scene Investigation,2004,0.12,0.09,0.03,0,0
The Lord of the Rings: Aragorn's Quest,2010,0.12,0.07,0.02,0,0.02
Yogi Bear: The Video Game,2010,0.12,0.06,0.05,0,0.01
Makai Shin Trillion,2014,0.12,0.02,0.02,0.06,0.01
Buffy the Vampire Slayer: Chaos Bleeds,2003,0.12,0.09,0.03,0,0
Lost Horizon,2010,0.12,0,0.1,0,0.02
Hanagumi Taisen Columns,1997,0.12,0,0,0.12,0
Tales of Destiny 2,2007,0.12,0,0,0.12,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,2005,0.12,0.09,0.02,0,0
Power Pro Kun Pocket 14,2011,0.12,0,0,0.12,0
Get Up and Dance,2011,0.12,0.06,0.04,0,0.01
Merv Griffin's Crosswords,2008,0.12,0.11,0,0,0.01
Rango: The Video Game,2011,0.12,0.07,0.03,0,0.01
Planet 51,2009,0.12,0.07,0.03,0,0.02
Ultimate Puzzle Games: Sudoku Edition,2007,0.12,0.11,0,0,0.01
Tokyo Twilight Ghost Hunters,2014,0.12,0.06,0.01,0.02,0.02
Deadpool,2015,0.12,0.08,0.03,0,0.01
UN Squadron,1991,0.12,0,0,0.12,0
Tecmo Super Bowl,1996,0.12,0.06,0.04,0,0.01
TMNT,2007,0.12,0.1,0.01,0,0.01
Dora the Explorer: Journey to the Purple Planet,2005,0.12,0.09,0.02,0,0
Lunar 2: Eternal Blue,1998,0.12,0,0,0.12,0
NHL Powerplay '96,1996,0.12,0.06,0.04,0,0.01
Thousand Arms,1998,0.12,0.06,0.04,0,0.01
de Blob 2,2011,0.12,0.09,0.02,0,0.01
Arctic Thunder,2001,0.12,0.09,0.02,0,0
Hyperdimension Neptunia Re;Birth 3,2014,0.12,0.07,0.01,0,0.03
Barnyard,2006,0.12,0.09,0.02,0,0
Stolen Song,1998,0.12,0,0,0.11,0.01
Darkspore,2011,0.12,0.07,0.03,0,0.01
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2013,0.12,0.09,0.01,0,0.01
Armored Core: Verdict Day,2013,0.12,0,0,0.12,0
Yattaman DS: BikkuriDokkiri Daisakusen da Koron,2008,0.12,0,0,0.12,0
Harvey Birdman: Attorney at Law,2008,0.12,0.06,0.04,0,0.01
Wipeout 2,2011,0.12,0.11,0,0,0.01
Dawn of Discovery,2009,0.12,0.07,0.03,0,0.01
DEATH NOTE: Kira Game,2007,0.12,0,0,0.12,0
Sengoku Cyber: Fujimaru Jigokuhen,1995,0.12,0,0,0.11,0.01
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol.10: CR Shinseiki Evangelion: Kiseki no Kachi,2007,0.12,0,0,0.12,0
ASH: Archaic Sealed Heat,2007,0.12,0,0,0.12,0
Happy Feet Two,,0.12,0.09,0.02,0,0.01
Brunswick Pro Bowling,2011,0.12,0.11,0,0,0.01
Fantastic Four: Rise of the Silver Surfer,2007,0.12,0.1,0.01,0,0.01
Dorabase 2: Nettou Ultra Stadium,2009,0.12,0,0,0.12,0
Center Ring Boxing,1994,0.12,0,0,0.12,0
NHL 2K3,2002,0.12,0.09,0.02,0,0
Puzzler World 2,2010,0.12,0.02,0.07,0,0.02
Die Hard: Vendetta,2002,0.12,0.09,0.02,0,0
Sword Art Online: Hollow Fragment,2015,0.12,0,0.1,0,0.02
F1 2002,2002,0.12,0.05,0.04,0.02,0.01
Hasbro Family Game Night Fun Pack,2011,0.12,0.11,0,0,0.01
FIFA Soccer,2005,0.12,0.11,0,0,0.01
Dead Island Definitive Collection,2016,0.12,0.02,0.07,0.01,0.02
Sphinx and the Cursed Mummy,2003,0.12,0.09,0.02,0,0
Army Men: Soldiers of Misfortune,2008,0.12,0.11,0,0,0.01
GT Advance 2: Rally Racing,2001,0.11,0.08,0.03,0,0
Mystery P.I. - Portrait of a Thief,2008,0.11,0.11,0,0,0.01
Yakuza,2012,0.11,0,0,0.11,0
DOA 2: Dead or Alive 2 Hardcore,2000,0.11,0,0,0.11,0
A Witch's Tale,2009,0.11,0.08,0,0.03,0.01
Hollywood Squares,2010,0.11,0.11,0,0,0.01
Cabela's Deer Hunt 2005 Season,2004,0.11,0.09,0.02,0,0
SplashDown,2002,0.11,0.09,0.02,0,0
Nobunaga no Yabou: Tenshoki,1995,0.11,0,0,0.11,0
Stronghold,2001,0.11,0,0.09,0,0.02
Warhammer: Battle March,2008,0.11,0.09,0.02,0,0.01
F1 Racing Championship,2000,0.11,0.06,0.04,0,0.01
Dead Man's Hand,2004,0.11,0.09,0.02,0,0
Smash Cars,2003,0.11,0.06,0.04,0,0.01
NASCAR 07,2006,0.11,0.06,0.04,0,0.01
Karaoke Revolution Presents American Idol Encore 2,2008,0.11,0.11,0,0,0.01
Nickelodeon Dance,2011,0.11,0.08,0.02,0,0.01
Pac 'n Roll,2005,0.11,0.09,0,0.02,0.01
Cabela's North American Adventures,2010,0.11,0.11,0,0,0.01
Mechanic Master,2008,0.11,0.1,0,0,0.01
Jikkyou Powerful Pro Yakyuu 12 Ketteiban,2005,0.11,0,0,0.11,0
Melty Blood: Act Cadenza,2006,0.11,0,0,0.11,0
Dokapon Kingdom,2007,0.11,0.05,0.04,0.02,0.01
ToeJam & Earl III: Mission to Earth,2002,0.11,0.09,0.02,0,0
Phantasy Star Collection,2002,0.11,0.08,0.03,0,0
Doukoku Shoshite...,1998,0.11,0,0,0.11,0
LEGO Knights' Kingdom,2004,0.11,0.08,0.03,0,0
Final Fantasy III,2012,0.11,0,0,0.11,0
Family Game Night 4: The Game Show,2011,0.11,0.08,0.02,0,0.01
Retro Game Challenge,2007,0.11,0,0,0.11,0
NBA Jam 2002,2002,0.11,0.08,0.03,0,0
Every Extend Extra,2006,0.11,0.1,0.01,0,0.01
Shining Force NEO,2005,0.11,0.06,0.04,0,0.01
Tony Hawk's Pro Skater 5,2015,0.11,0.08,0.02,0,0.01
Brain Quest: Grades 5 & 6,2008,0.11,0.11,0,0,0.01
SingStar Latino,2009,0.11,0.11,0,0,0.01
Girl Time,2009,0.11,0.11,0,0,0.01
Army Men: Sarge's War,2004,0.11,0.09,0.02,0,0
Ultimate Mortal Kombat,2007,0.11,0.09,0.01,0,0.01
Pocket Soccer League: Calciobit,2012,0.11,0,0,0.11,0
Primal Rage,1994,0.11,0.06,0.04,0,0.01
FIFA Street 2,2006,0.11,0.09,0.02,0,0
DiRT Rally,2016,0.11,0.03,0.08,0,0.01
Heart Catch PreCure! Oshare Collection,2010,0.11,0,0,0.11,0
UEFA Euro 2016,2016,0.11,0,0.08,0.02,0.01
Taito Legends,2005,0.11,0.06,0.04,0,0.01
Tom Clancy's Rainbow Six: Rogue Spear,2002,0.11,0.08,0.03,0,0
BoomBots,1999,0.11,0.06,0.04,0,0.01
Monster Madness: Battle for Suburbia,2007,0.11,0.1,0,0,0.01
Star Trek: Conquest,,0.11,0.06,0.04,0,0.01
FIFA Soccer 06,2005,0.11,0.1,0.01,0,0.01
Life is Strange,2016,0.11,0.08,0.02,0,0.01
NFL Head Coach 09,2008,0.11,0.11,0,0,0.01
World Championship Rugby,2004,0.11,0.06,0.04,0,0.01
Phantom Dust,2004,0.11,0.08,0.02,0,0
Shinseiki Evangelion: Koutetsu no Girlfriend,1998,0.11,0,0,0.11,0.01
Shin Sangoku Musou: Multi Raid 2,2010,0.11,0,0,0.11,0
Taiko Drum Master: Tokumori!,2014,0.11,0,0,0.11,0
Growlanser Generations,2003,0.11,0.06,0.04,0,0.01
Mega Man Battle Chip Challenge,2003,0.11,0.08,0.03,0,0
Desktop Tower Defense,2009,0.11,0.11,0,0,0.01
Puyo Puyo Tetris,2014,0.11,0,0,0.11,0
Pro Evolution Soccer 2014,2013,0.11,0,0.09,0,0.02
"Sakura Wars: So Long, My Love",2010,0.11,0.06,0.04,0,0.01
The Settlers,2007,0.11,0.1,0,0,0.01
Grease,2010,0.11,0.1,0,0,0.01
My SAT Coach with The Princeton Review,2008,0.11,0.1,0,0,0.01
Family Fun Football,2009,0.11,0.1,0,0,0.01
Ring of Red,2000,0.11,0.06,0.04,0,0.01
Cold Winter,2005,0.11,0.06,0.04,0,0.01
International Track & Field 2000,1999,0.11,0.06,0.04,0,0.01
The Hardy Boys: Treasure on the Tracks,2009,0.11,0.11,0,0,0.01
PDC World Championship Darts: Pro Tour,2010,0.11,0,0.09,0,0.03
Stubbs the Zombie in Rebel Without a Pulse,2005,0.11,0.08,0.02,0,0
Batman: Dark Tomorrow,2003,0.11,0.08,0.02,0,0
Ping Pals,2004,0.11,0.1,0,0,0.01
Fatal Frame: Maiden of Black Water,2014,0.11,0,0.03,0.08,0
MySims SkyHeroes,2010,0.11,0.08,0.02,0,0.01
Blood Drive,2010,0.11,0.09,0.01,0,0.01
18 Wheeler: American Pro Trucker,2002,0.11,0.09,0.02,0,0
Jake Hunter Detective Story: Memories of the Past,2007,0.11,0.06,0,0.05,0
Start the Party! Save the World,2011,0.11,0,0.09,0,0.03
The King of Fighters XII,2009,0.11,0.09,0,0.01,0.01
Digimon World DS,2006,0.11,0.1,0,0,0.01
Naruto Ultimate Collection,2008,0.11,0.06,0.04,0,0.01
The King of Fighters '99,2000,0.11,0,0,0.11,0.01
Mass Destruction,1997,0.11,0.06,0.04,0,0.01
Bodycount,2011,0.11,0.07,0.03,0,0.01
Batman: Rise of Sin Tzu,2003,0.11,0.08,0.02,0,0
Shinseiki Evangelion: Koutetsu no Girlfriend,1998,0.11,0,0,0.11,0
Skylanders: SuperChargers,2015,0.11,0.05,0.06,0,0.01
Super Swing Golf Season 2,2007,0.11,0.08,0,0.03,0.01
Queen's Blade: Spiral Chaos,2009,0.11,0,0,0.11,0
Jikkyou Powerful Pro Yakyuu '95,1994,0.11,0,0,0.11,0.01
Spy vs Spy,2005,0.11,0.08,0.02,0,0
Coraline,2009,0.11,0.06,0.04,0,0.01
The Price is Right: Decades,2011,0.11,0.11,0,0,0.01
Sega Touring Car Championship,1996,0.11,0,0,0.11,0
GoldenEye: Rogue Agent,2005,0.11,0.1,0,0,0.01
JASF: Jane's Advanced Strike Fighters,2011,0.11,0.07,0.03,0,0.02
Cake Mania,2007,0.11,0.09,0.01,0,0.01
Cold Fear,2005,0.11,0.06,0.04,0,0.01
Akiba's Trip: Undead & Undressed,2014,0.11,0.08,0,0.01,0.02
Zangeki no Reginleiv,2010,0.11,0,0,0.11,0
Stronghold Kingdoms,2011,0.11,0,0.1,0,0.02
Fabulous Finds,2009,0.11,0.1,0,0,0.01
Vacation Sports,2009,0.11,0.1,0.01,0,0.01
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden,2006,0.11,0,0,0.11,0
PDC World Championship Darts: Pro Tour,2010,0.11,0,0.1,0,0.01
Pimp My Ride,2008,0.11,0.1,0,0,0.01
Surf's Up,2007,0.11,0.02,0.06,0,0.03
Invizimals: The Lost Tribes,2011,0.11,0,0.08,0,0.04
Let's Play Garden,2010,0.11,0.11,0,0,0.01
NHL Hitz 20-03,2002,0.11,0.08,0.02,0,0
Murakumo: Renegade Mech Pursuit,2002,0.11,0.04,0.01,0.06,0
Heavy Fire: Afghanistan,2011,0.11,0.11,0,0,0.01
Samurai Warriors 4-II,2015,0.11,0.03,0.02,0.06,0.01
Open Season,2006,0.11,0.1,0,0,0.01
WireWay,2009,0.11,0.1,0,0,0.01
Gun Metal,2002,0.11,0.08,0.02,0,0
Just In Time Translations,2009,0.11,0.1,0,0,0.01
John Daly's ProStroke Golf,2010,0.11,0.09,0.02,0,0.01
Pro Yaky? Spirits 5,2008,0.11,0,0,0.11,0
Samurai Warriors 4-II,2015,0.11,0,0,0.11,0
BloodRayne,2002,0.11,0.09,0.02,0,0
The Hardy Boys: The Hidden Theft,2009,0.11,0.07,0.03,0,0.01
Metal Slug 4 & 5,2005,0.11,0.05,0.04,0,0.01
Pac-Man and the Ghostly Adventures 2,2014,0.11,0.05,0.05,0,0.01
ECW Anarchy Rulz,1999,0.11,0.06,0.04,0,0.01
InuYasha: A Feudal Fairy Tale,2002,0.11,0,0,0.1,0.01
Gem Quest: 4 Elements,2011,0.11,0.05,0.05,0,0.01
Funky Barn,2012,0.11,0.07,0.03,0,0.01
J-League Winning Eleven 9: Asia Championship,2005,0.11,0,0,0.11,0
Sabrina The Teenage Witch: Potion Commotion,2002,0.11,0.08,0.03,0,0
Pac-Man Pinball Advance,2005,0.11,0.08,0.03,0,0
Pocket Pets,2007,0.11,0.1,0,0,0.01
Yu Yu Hakusho: Tournament Tactics,2004,0.11,0.08,0.03,0,0
Home Run King,2002,0.11,0.09,0.02,0,0
Power Rangers: Super Legends,2007,0.11,0.08,0.03,0,0.01
To Heart 2: Dungeon Travelers,2011,0.11,0,0,0.11,0
Where the Wild Things Are,2009,0.11,0.1,0,0,0.01
Lost in Blue,2005,0.11,0.07,0.02,0.02,0.01
Criminal Girls: Invite Only,2013,0.11,0.04,0.02,0.04,0.02
WWE All Stars,2011,0.11,0.05,0.04,0,0.01
MLB Power Pros,2007,0.11,0,0,0.11,0
Truth or Lies,2010,0.11,0.07,0.03,0,0.01
Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant,1995,0.11,0,0,0.11,0
Kousoku Card Battle: Card Hero,2007,0.11,0,0,0.11,0
AirForce Delta Strike,2004,0.11,0.05,0.04,0,0.01
Dora's Big Birthday Adventure,2010,0.11,0.1,0.01,0,0.01
Tokimeki Memorial: Girl's Side 2nd Season,2008,0.11,0,0,0.11,0
Disney's Peter Pan: Return to Never Land,2002,0.11,0.08,0.03,0,0
The Fairly Odd Parents: Breakin Da Rules,2003,0.11,0.08,0.02,0,0
Monkey Island: Special Edition Collection,2011,0.11,0,0.08,0,0.03
Capcom vs. SNK 2 EO,2002,0.11,0.09,0.02,0,0
Hot Wheels Velocity X,2002,0.11,0.09,0.02,0,0
Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,2015,0.11,0,0,0.11,0
Spyborgs,2009,0.11,0.1,0.01,0,0.01
American Girl: Julie Finds a Way,2007,0.11,0.1,0,0,0.01
Contra Advance: The Alien Wars EX,2002,0.11,0.08,0.03,0,0
Jikkyou Powerful Pro Baseball 2016,2016,0.11,0,0,0.11,0
The History Channel: Battle for the Pacific,2007,0.11,0.1,0,0,0.01
18 Wheels of Steel: Extreme Trucker 2,2011,0.11,0.08,0.02,0,0.01
Happy Feet Two,2011,0.11,0.08,0.02,0,0.01
Army Men: RTS,2002,0.11,0.05,0.04,0,0.01
Mobile Suit Gundam: MS Sensen 0079,2007,0.11,0,0,0.11,0
Pinball Hall of Fame: The Williams Collection,2008,0.11,0.09,0.01,0,0.01
Space Chimps,2008,0.11,0.1,0,0,0.01
The Spiderwick Chronicles,2008,0.11,0.09,0.01,0,0.01
Project CARS,2015,0.11,0,0.1,0,0.01
Green Lantern: Rise of the Manhunters,2011,0.11,0.08,0.02,0,0.01
Eragon,2006,0.11,0.1,0,0,0.01
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,2011,0.11,0,0,0.11,0
Guitar Rock Tour,2007,0.11,0.1,0,0,0.01
Mortal Kombat: Deception,2005,0.11,0.09,0.02,0,0
ESPN NHL Hockey,2003,0.11,0.08,0.02,0,0
Monster Lab,2008,0.11,0.05,0.04,0,0.01
XXX,2002,0.11,0.08,0.03,0,0
Machinarium,2009,0.11,0,0.09,0,0.02
The Smurfs 2,2013,0.11,0.02,0.07,0,0.02
Maximum Force,1997,0.11,0.06,0.04,0,0.01
NCIS 3D,2011,0.11,0.06,0.04,0,0.01
Worms Forts: Under Siege,2004,0.11,0.05,0.04,0,0.01
Alvin and the Chipmunks: Chipwrecked,2011,0.11,0.07,0.03,0,0.01
Totally Spies! Totally Party,2008,0.11,0.09,0.01,0,0.01
Smash Court Tennis 3,2007,0.11,0.08,0.02,0,0.01
ATV Quad Kings,2010,0.11,0.1,0,0,0.01
Naruto Shippuden: Naruto vs. Sasuke,2008,0.11,0.08,0,0.03,0.01
DualPenSports,2011,0.11,0.05,0.05,0,0.01
Project: Snowblind,2005,0.11,0.08,0.02,0,0
Astro Boy: The Video Game,2009,0.11,0.05,0.04,0,0.01
HOP,2011,0.11,0.09,0.01,0,0.01
Brave Story: New Traveler (US sales),2006,0.11,0.11,0,0,0
Disney's Extreme Skate Adventure,2003,0.11,0.08,0.02,0,0
Tales of Phantasia (PS1 & PSP Versions),2006,0.11,0,0,0.11,0
Kouchuu Ouja Mushi King: Super Collection,2007,0.11,0,0,0.11,0
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,2003,0.11,0.09,0.02,0,0
Pac-Man World 2,2005,0.11,0.08,0.03,0,0
Yoostar2,2011,0.11,0.04,0.05,0,0.02
Avatar: The Last Airbender,2006,0.11,0.1,0,0,0.01
Odama,2006,0.11,0.07,0.02,0.02,0
Karaoke Revolution Presents American Idol Encore,2008,0.11,0.1,0,0,0.01
FlatOut: Ultimate Carnage,2007,0.11,0.07,0.03,0,0.01
Mobile Light Force 2,2002,0.11,0.05,0.04,0,0.01
Naval Ops: Warship Gunner,2003,0.11,0.05,0.04,0,0.01
Soma Bringer,2008,0.11,0,0,0.11,0
"Sesame Street: Ready, Set, Grover!",2011,0.11,0.1,0,0,0.01
Shin Sangoku Musou 6 Special,2011,0.11,0,0,0.11,0
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,2011,0.11,0.07,0.03,0,0.01
Go! Sudoku (JP sales),2005,0.11,0,0,0.11,0
EA Replay,2006,0.11,0.09,0,0,0.01
Paws & Claws Pet Vet: Australian Adventures,2009,0.11,0.1,0,0,0.01
Bionicle Heroes,2006,0.11,0.08,0.02,0,0
Trauma Center: Under the Knife 2,2008,0.11,0.1,0,0,0.01
Puss in Boots,2011,0.11,0.09,0.01,0,0.01
Split/Second,2010,0.11,0.07,0.02,0,0.02
The Croods: Prehistoric Party!,2013,0.11,0.03,0.07,0,0.01
The King of Fighters 2000/2001,2003,0.11,0.05,0.04,0,0.01
Lunacy,1996,0.11,0,0,0.11,0
Batman & Robin,1998,0.11,0.06,0.04,0,0.01
Snowboard Kids 2,1999,0.11,0.09,0.02,0,0
Tonic Trouble,1999,0.11,0.09,0.02,0,0
Nuclear Strike 64,1999,0.11,0.09,0.02,0,0
Chameleon Twist,1997,0.11,0.09,0.02,0,0
Top Gear Rally 2,1999,0.11,0.09,0.02,0,0
Chopper Attack,1997,0.11,0.09,0.02,0,0
Vigilante 8: 2nd Offense,2000,0.11,0.09,0.02,0,0
Fighting Force 64,1999,0.11,0.09,0.02,0,0
Thief (2014),2014,0.11,0,0.09,0,0.02
Rock Band: Metal Track Pack,2009,0.11,0.1,0,0,0.01
Pac-Man and the Ghostly Adventures 2,2014,0.11,0.05,0.04,0,0.02
BlazBlue: Calamity Trigger Portable,2010,0.11,0.07,0.01,0.03,0.01
Night at the Museum: Battle of the Smithsonian,2009,0.11,0.07,0.03,0,0.01
Street Fighter Collection,1996,0.11,0,0,0.11,0
Ninja Assault,2002,0.11,0.05,0.04,0,0.01
Tales of Berseria,2016,0.11,0,0,0.11,0
Samurai Warriors 4,2014,0.11,0,0,0.11,0
GunGriffon Blaze,2000,0.11,0.05,0.04,0,0.01
Higurashi no Naku Koro ni Matsuri,2007,0.11,0,0,0.11,0
Frontier Gate,2011,0.11,0,0,0.11,0
Transformers: Devastation,2015,0.11,0.03,0.07,0,0.02
Top Angler: Real Bass Fishing,2002,0.11,0.05,0.04,0,0.01
Gabrielle's Ghostly Groove 3D,2011,0.11,0.08,0.02,0,0.01
Michael Phelps: Push the Limit,2011,0.11,0.09,0.01,0,0.01
Breakout,1999,0.11,0.06,0.04,0,0.01
Frogger: Helmet Chaos,2005,0.11,0.1,0,0,0.01
AKB48+Me,2012,0.11,0,0,0.11,0
Touch Detective 2 1/2,2007,0.11,0.09,0,0.01,0.01
Alias,2004,0.11,0.05,0.04,0,0.01
Planet 51,2009,0.11,0.07,0.03,0,0.01
Call of Juarez: The Cartel,2011,0.11,0.05,0.05,0,0.01
Sakura Taisen Hanagumi Tsuushin,1997,0.11,0,0,0.11,0
Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,2004,0.11,0,0,0.11,0
Tornado Outbreak,2009,0.11,0.1,0,0,0.01
Pimp My Ride,2006,0.11,0.1,0.01,0,0.01
Michael Jackson: The Experience,2011,0.11,0.05,0.04,0,0.02
Astro Boy: The Video Game,2009,0.11,0.1,0,0,0.01
Outlaw Golf: Nine Holes of Christmas,2002,0.11,0.08,0.02,0,0
NHL Rivals 2004,2003,0.11,0.08,0.02,0,0
X-Men: Next Dimension,2002,0.11,0.08,0.02,0,0
Tyco RC: Assault with a Battery,1999,0.11,0.06,0.04,0,0.01
Felony 11-79,1997,0.11,0.06,0.04,0,0.01
Terraria,2013,0.11,0,0.01,0.09,0
Classic Road,1993,0.11,0,0,0.11,0
Bust-A-Move DS,2005,0.11,0.08,0.02,0,0.01
Nicktoons: Unite!,2006,0.11,0.1,0,0,0.01
SimAnimals Africa,2009,0.11,0.08,0.02,0,0.01
Death Jr.: Root of Evil,2008,0.11,0.1,0,0,0.01
One Piece: Burning Blood,2016,0.11,0,0.03,0.07,0.01
Panzer Dragoon Saga,1997,0.11,0,0,0.11,0
Sonic Generations,2011,0.11,0.02,0.07,0,0.02
Mushroom Men: Rise of the Fungi,2008,0.11,0.1,0,0,0.01
Shining Ark,2013,0.11,0,0,0.11,0
The Scorpion King: Rise of the Akkadian,2002,0.11,0.08,0.02,0,0
Backyard Baseball '10,2009,0.11,0.1,0,0,0.01
Transformers: Beast Wars Transmetals,2000,0.11,0.06,0.04,0,0.01
GiFTPiA,,0.11,0,0,0.11,0
Animal Planet: Vet Life,2009,0.11,0.1,0,0,0.01
My Little Sister Can't Be This Cute Portable,2012,0.11,0,0,0.11,0
Silly Bandz: Play The Craze,2010,0.11,0.1,0,0,0.01
Charlie and the Chocolate Factory,2005,0.11,0.08,0.02,0,0
Constantine,2005,0.11,0.05,0.04,0,0.01
Where the Wild Things Are,2009,0.11,0.09,0.01,0,0.01
Dynasty Tactics 2,2003,0.11,0.05,0.04,0,0.01
Real World Golf,2005,0.11,0.05,0.04,0,0.01
Winter Heat,1996,0.11,0,0,0.11,0
Ty the Tasmanian Tiger 2: Bush Rescue,2004,0.11,0.08,0.02,0,0
Digimon Story: Cyber Sleuth,2016,0.11,0,0.09,0,0.02
